SampleID,Flask_No,Enrichment,Carbon,Media,Replicate,Time_Point,Time,Minutes,Hours,Absorbance,Absorbance_300,Biomass_mg
Emma2_Blank_AMW_R1_T0,46,Emma2,Blank,AMW,R1,T0,06072021_0500pm,0,0,0.157,,
Emma2_Blank_AMW_R2_T0,47,Emma2,Blank,AMW,R2,T0,06072021_0500pm,0,0,0.13,,
Emma2_Blank_AMW_R3_T0,48,Emma2,Blank,AMW,R3,T0,06072021_0500pm,0,0,0.076,,
Laura1_Blank_AMW_R1_T0,49,Laura1,Blank,AMW,R1,T0,06072021_0500pm,0,0,0.176,,
Laura1_Blank_AMW_R2_T0,50,Laura1,Blank,AMW,R2,T0,06072021_0500pm,0,0,0.188,,
Laura1_Blank_AMW_R3_T0,51,Laura1,Blank,AMW,R3,T0,06072021_0500pm,0,0,0.192,,
Laura2_Blank_AMW_R1_T0,52,Laura2,Blank,AMW,R1,T0,06072021_0500pm,0,0,0.274,,
Laura2_Blank_AMW_R2_T0,53,Laura2,Blank,AMW,R2,T0,06072021_0500pm,0,0,0.207,,
Laura2_Blank_AMW_R3_T0,54,Laura2,Blank,AMW,R3,T0,06072021_0500pm,0,0,0.205,,
Blank_DCPET_AMW_R1_T0,55,Blank,DCPET,AMW,R1,T0,06072021_0500pm,0,0,0.039,,
Blank_DCPET_AMW_R2_T0,56,Blank,DCPET,AMW,R2,T0,06072021_0500pm,0,0,0.039,,
Blank_DCPET_AMW_R3_T0,57,Blank,DCPET,AMW,R3,T0,06072021_0500pm,0,0,0.04,,
Blank_TPA_BH_R1_T0,58,Blank,TPA,BH,R1,T0,06072021_0500pm,0,0,0.054,,
Blank_TPA_BH_R2_T0,59,Blank,TPA,BH,R2,T0,06072021_0500pm,0,0,0.049,,
Blank_TPA_BH_R3_T0,60,Blank,TPA,BH,R3,T0,06072021_0500pm,0,0,0.05,,
Blank_DCPET_BH_R1_T0,61,Blank,DCPET,BH,R1,T0,06072021_0500pm,0,0,0.056,,
Blank_DCPET_BH_R2_T0,62,Blank,DCPET,BH,R2,T0,06072021_0500pm,0,0,0.051,,
Blank_DCPET_BH_R3_T0,63,Blank,DCPET,BH,R3,T0,06072021_0500pm,0,0,0.051,,
Blank_DCPET_ARW_R1_T0,64,Blank,DCPET,ARW,R1,T0,06072021_0500pm,0,0,0.041,,
Blank_DCPET_ARW_R2_T0,65,Blank,DCPET,ARW,R2,T0,06072021_0500pm,0,0,0.039,,
Blank_DCPET_ARW_R3_T0,66,Blank,DCPET,ARW,R3,T0,06072021_0500pm,0,0,0.04,,
Emma2_TPA_BH_R1_T0,67,Emma2,TPA,BH,R1,T0,06072021_0500pm,0,0,0.189,,
Emma2_TPA_BH_R2_T0,68,Emma2,TPA,BH,R2,T0,06072021_0500pm,0,0,0.067,,
Emma2_TPA_BH_R3_T0,69,Emma2,TPA,BH,R3,T0,06072021_0500pm,0,0,0.139,,
Laura1_TPA_BH_R1_T0,70,Laura1,TPA,BH,R1,T0,06072021_0500pm,0,0,0.209,,
Laura1_TPA_BH_R2_T0,71,Laura1,TPA,BH,R2,T0,06072021_0500pm,0,0,0.245,,
Laura1_TPA_BH_R3_T0,72,Laura1,TPA,BH,R3,T0,06072021_0500pm,0,0,0.218,,
Laura2_TPA_BH_R1_T0,73,Laura2,TPA,BH,R1,T0,06072021_0500pm,0,0,0.223,,
Laura2_TPA_BH_R2_T0,74,Laura2,TPA,BH,R2,T0,06072021_0500pm,0,0,0.231,,
